i,U_i=X_i/M,X_i
1,0.728575,728575
2,0.743589,743589
3,0.670201,670201
4,0.910097,910097
5,0.695265,695265
6,0.404609,404609
7,0.503361,503361
8,0.685377,685377
9,0.277505,277505
10,0.102529,102529
11,0.406721,406721
12,0.472257,472257
13,0.052545,52545
14,0.142849,142849
15,0.449281,449281
16,0.572737,572737
17,0.936385,936385
18,0.853569,853569
19,0.255041,255041
20,0.978817,978817
21,0.865025,865025
22,0.722689,722689
23,0.728001,728001
24,0.922497,922497
25,0.694465,694465
26,0.598209,598209
27,0.652161,652161
28,0.675777,675777
29,0.600705,600705
30,0.888129,888129
31,0.291521,291521
32,0.350657,350657
33,0.479745,479745
34,0.760449,760449
35,0.990081,990081
36,0.699137,699137
37,0.347585,347585
38,0.343169,343169
39,0.771841,771841
40,0.913217,913217
41,0.740225,740225
42,0.924289,924289
43,0.940801,940801
44,0.424897,424897
45,0.113665,113665
46,0.151809,151809
47,0.680961,680961
48,0.706177,706177
49,0.243905,243905
50,0.233729,233729
51,0.656321,656321
52,0.069057,69057
53,0.626945,626945
54,0.138049,138049
55,0.610881,610881
56,0.465537,465537
57,0.878785,878785
58,0.792769,792769
59,0.968641,968641
60,0.287617,287617
61,0.135425,135425
62,0.285889,285889
63,0.433601,433601
64,0.167297,167297
65,0.452865,452865
66,0.065409,65409
67,0.589761,589761
68,0.776577,776577
69,0.207105,207105
70,0.139329,139329
71,0.501121,501121
72,0.627457,627457
73,0.494145,494145
74,0.275649,275649
75,0.311681,311681
76,0.871937,871937
77,0.529985,529985
78,0.202369,202369
79,0.845441,845441
80,0.102017,102017
81,0.050625,50625
82,0.807489,807489
83,0.206401,206401
84,0.149697,149697
85,0.712065,712065
86,0.339009,339009
87,0.378561,378561
88,0.886977,886977
89,0.490305,490305
90,0.604929,604929
91,0.825921,825921
92,0.025857,25857
93,0.081345,81345
94,0.173249,173249
95,0.092481,92481
96,0.918337,918337
97,0.301185,301185
98,0.571969,571969
99,0.402241,402241
100,0.356417,356417
101,0.485825,485825
102,0.489089,489089
103,0.259201,259201
104,0.372097,372097
105,0.891265,891265
106,0.972609,972609
107,0.047361,47361
108,0.037377,37377
109,0.093505,93505
110,0.630529,630529
111,0.630721,630721
112,0.264257,264257
113,0.388545,388545
114,0.830849,830849
115,0.953281,953281
116,0.604737,604737
117,0.192385,192385
118,0.901569,901569
119,0.639041,639041
120,0.050817,50817
121,0.441025,441025
122,0.330689,330689
123,0.592001,592001
124,0.834497,834497
125,0.990465,990465
126,0.966209,966209
127,0.596161,596161
128,0.227777,227777
129,0.016705,16705
130,0.216129,216129
131,0.915521,915521
132,0.342657,342657
133,0.415745,415745
134,0.248449,248449
135,0.894081,894081
136,0.931137,931137
137,0.203585,203585
138,0.191169,191169
139,0.555841,555841
140,0.185217,185217
141,0.916225,916225
142,0.332289,332289
143,0.204801,204801
144,0.536897,536897
145,0.009665,9665
146,0.319809,319809
147,0.024961,24961
148,0.458177,458177
149,0.259905,259905
150,0.361729,361729
151,0.680321,680321
152,0.261057,261057
153,0.162945,162945
154,0.426049,426049
155,0.914881,914881
156,0.897537,897537
157,0.334785,334785
158,0.440769,440769
159,0.152641,152641
160,0.759617,759617
161,0.911425,911425
162,0.493889,493889
163,0.097601,97601
164,0.479297,479297
165,0.948865,948865
166,0.033409,33409
167,0.333761,333761
168,0.728577,728577
169,0.823105,823105
170,0.067329,67329
171,0.925121,925121
172,0.019457,19457
173,0.630145,630145
174,0.363649,363649
175,0.015681,15681
176,0.503937,503937
177,0.585985,585985
178,0.650369,650369
179,0.429441,429441
180,0.774017,774017
181,0.426625,426625
182,0.815489,815489
183,0.270401,270401
184,0.661697,661697
185,0.808065,808065
186,0.107009,107009
187,0.522561,522561
188,0.038977,38977
189,0.706305,706305
190,0.332929,332929
191,0.649921,649921
192,0.617857,617857
193,0.817345,817345
194,0.061249,61249
195,0.196481,196481
196,0.750337,750337
197,0.957185,957185
198,0.819969,819969
199,0.386241,386241
200,0.228417,228417
201,0.461825,461825
202,0.297089,297089
203,0.723201,723201
204,0.084097,84097
205,0.587265,587265
206,0.540609,540609
207,0.591361,591361
208,0.389377,389377
209,0.909505,909505
210,0.158529,158529
211,0.854721,854721
212,0.056257,56257
213,0.724545,724545
214,0.518849,518849
215,0.457281,457281
216,0.636737,636737
217,0.448385,448385
218,0.949569,949569
219,0.023041,23041
220,0.122817,122817
221,0.017025,17025
222,0.938689,938689
223,0.456001,456001
224,0.746497,746497
225,0.286465,286465
226,0.334209,334209
227,0.540161,540161
228,0.779777,779777
229,0.432705,432705
230,0.544129,544129
231,0.539521,539521
232,0.334657,334657
233,0.351745,351745
234,0.736449,736449
235,0.798081,798081
236,0.163137,163137
237,0.059585,59585
238,0.039169,39169
239,0.339841,339841
240,0.457217,457217
241,0.092225,92225
242,0.740289,740289
243,0.468801,468801
244,0.648897,648897
245,0.905665,905665
246,0.487809,487809
247,0.368961,368961
248,0.210177,210177
249,0.275905,275905
250,0.489729,489729
251,0.704321,704321
252,0.453057,453057
253,0.698945,698945
254,0.714049,714049
255,0.218881,218881
256,0.329537,329537
257,0.790785,790785
258,0.088769,88769
259,0.336641,336641
260,0.231617,231617
261,0.687425,687425
262,0.701889,701889
263,0.761601,761601
264,0.791297,791297
265,0.444865,444865
266,0.001409,1409
267,0.077761,77761
268,0.680577,680577
269,0.439105,439105
270,0.995329,995329
271,0.349121,349121
272,0.411457,411457
273,0.766145,766145
274,0.451649,451649
275,0.719681,719681
276,0.135937,135937
277,0.641985,641985
278,0.098369,98369
279,0.013441,13441
280,0.446017,446017
281,0.802625,802625
282,0.823489,823489
283,0.334401,334401
284,0.173697,173697
285,0.904065,904065
286,0.875009,875009
287,0.666561,666561
288,0.190977,190977
289,0.922305,922305
290,0.060929,60929
291,0.473921,473921
292,0.209857,209857
293,0.553345,553345
294,0.949249,949249
295,0.300481,300481
296,0.582337,582337
297,0.613185,613185
298,0.067969,67969
299,0.370241,370241
300,0.100417,100417
301,0.437825,437825
302,0.105089,105089
303,0.187201,187201
304,0.796097,796097
305,0.283265,283265
306,0.108609,108609
307,0.135361,135361
308,0.741377,741377
309,0.725505,725505
310,0.686529,686529
311,0.078721,78721
312,0.848257,848257
313,0.060545,60545
314,0.206849,206849
315,0.961281,961281
316,0.668737,668737
317,0.704385,704385
318,0.997569,997569
319,0.407041,407041
320,0.194817,194817
321,0.593025,593025
322,0.546689,546689
323,0.320001,320001
324,0.658497,658497
325,0.582465,582465
326,0.702209,702209
327,0.484161,484161
328,0.331777,331777
329,0.848705,848705
330,0.872129,872129
331,0.163521,163521
332,0.326657,326657
333,0.287745,287745
334,0.224449,224449
335,0.702081,702081
336,0.395137,395137
337,0.915585,915585
338,0.887169,887169
339,0.123841,123841
340,0.729217,729217
341,0.268225,268225
342,0.148289,148289
343,0.732801,732801
344,0.760897,760897
345,0.801665,801665
346,0.655809,655809
347,0.712961,712961
348,0.962177,962177
349,0.291905,291905
350,0.617729,617729
351,0.728321,728321
